"id";"date";"monthly_value";"quarterly_value";"yearly_value";"quarter_id";"month_id";"month";"quarter_year_name";"month_year_name"
"1";"2018-01-01";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"2";"2018-01-02";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"3";"2018-01-03";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"4";"2018-01-04";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"5";"2018-01-05";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"6";"2018-01-06";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"7";"2018-01-07";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"8";"2018-01-08";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"9";"2018-01-09";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"10";"2018-01-10";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"11";"2018-01-11";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"12";"2018-01-12";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"13";"2018-01-13";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"14";"2018-01-14";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"15";"2018-01-15";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"16";"2018-01-16";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"17";"2018-01-17";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"18";"2018-01-18";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"19";"2018-01-19";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"20";"2018-01-20";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"21";"2018-01-21";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"22";"2018-01-22";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"23";"2018-01-23";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"24";"2018-01-24";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"25";"2018-01-25";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"26";"2018-01-26";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"27";"2018-01-27";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"28";"2018-01-28";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"29";"2018-01-29";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"30";"2018-01-30";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"31";"2018-01-31";"1";"1";"2018";"2018001";"2018001";"Januar";"1 Qu 2018";"Jan 2018"
"32";"2018-02-01";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
"33";"2018-02-02";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
"34";"2018-02-03";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
"35";"2018-02-04";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
"36";"2018-02-05";"2";"1";"2018";"2018001";"2018002";"Februar";"1 Qu 2018";"Feb 2018"
